HGNC ID	Gene group ID	Pubmed IDs	NCBI Gene ID
HGNC:24124	1436|595|1605|1604|1606|1329	9845365, 10380635	86
HGNC:160	1436|1605|1604|1606	9799793	51412
HGNC:161	1436	10373328	10881
HGNC:162	1436	10373328, 12907721	10880
HGNC:24018	1436	30535476	81569
HGNC:28494	1436		284382
HGNC:16127	1436		170487
HGNC:163	1112	2349951	87
HGNC:20131	1987		161159
HGNC:164	1112	1339456	88
HGNC:165	1112	1339456, 17828264	89
HGNC:166	1112	9461087, 10700177	81
HGNC:44028			344978
HGNC:44032			391026
HGNC:51621			106480335
HGNC:167	1436	1528266	10121
HGNC:54703			100287074
HGNC:168	1436	7696711, 10343100	10120
HGNC:169	39|1436	9230079	10097
HGNC:170	39|1436	9230079	10096
HGNC:53965	1987	29959764	101060091
HGNC:17256	1436	10806390	57180
HGNC:37724			643050
HGNC:38677			440888
HGNC:38678			647156
HGNC:38681			777774
HGNC:38682			399746
HGNC:38683			644773
HGNC:37282	1436	11162478, 14651955	653857
HGNC:31820			100288580
HGNC:38676			100129013
HGNC:38679			100128020
HGNC:14671	1436|595	16230350	79913
HGNC:24025	1436|1329	11368909	64431
HGNC:44210			100421495
HGNC:14672	1436|595	18163988, 16230350	93973
HGNC:17372	1436	12857853	55860
HGNC:24027	1436	12243744	139741
HGNC:24026	1436	11750065, 12243744	140625
HGNC:24022	1436	11750065, 18692047	84517
HGNC:171	345	8397373	90
HGNC:172	345	8397373	91
HGNC:18123	345	12063393	130399
HGNC:173	346	1314589, 10702675	92
HGNC:174	346	8161782, 9621519	93
HGNC:44161	1987		100128640
HGNC:175	345	8397373, 8640225, 22718755	94
HGNC:176			
HGNC:177		1707030, 6948533	95
HGNC:178		1707030	
HGNC:24104		14656720	91703
HGNC:179		7796909, 9730610	97
HGNC:180		8268218, 25665007	98
HGNC:181			
HGNC:182			
HGNC:183			
HGNC:184			
HGNC:185		9333264, 10712207	
HGNC:186	1302	6198240, 6090454	100
HGNC:1839	1302	10756095, 27663683	51816
HGNC:30713	1303	7543294, 9541871	132612
HGNC:44550			100422386
HGNC:44552			100422407
HGNC:30714	1303		161931
HGNC:31853	1302	16245011, 23645737	161823
HGNC:187	47	9032439	8759
HGNC:44366	47		100420505
HGNC:198	47	8702389, 9070941	2515
HGNC:209	47	9502432, 11439107	1587
HGNC:210	47	9284909, 9502432, 11439107	1596
HGNC:212	47	8786143, 10417343	255926
HGNC:213	47		8755
HGNC:214	47	15883027, 19855936	8756
HGNC:215	47|471	9126482	101
HGNC:216	47	8647900, 11581183, 19409519	8754
HGNC:188	47|471	9344679, 9441766	102
HGNC:189	47	8252040	4185
HGNC:190	47	9417060, 18342566	8038
HGNC:43841		20404130	
HGNC:193	47	9516430	8751
HGNC:195	47|471	9034190, 9574564	6868
HGNC:196	47	12200459	8749
HGNC:197	47	9806848	8728
HGNC:199	47	9469942	8748
HGNC:20102			317760
HGNC:43901			100533671
HGNC:43902			644325
HGNC:200	47	9469942	8747
HGNC:19822			145241
HGNC:201	47	9693107, 10524237	53616
HGNC:202	47	9693107	8745
HGNC:203	47		646479
HGNC:206	47	10794709, 15013428	10863
HGNC:207	47	10644455	11086
HGNC:208	47	10512762	11085
HGNC:15479	47	12568724	203102
HGNC:15478	47	11814695	80332
HGNC:16299		9271581, 12037602	27299
HGNC:217	50	10438512	9510
HGNC:218	50	10094461, 15373769	9509
HGNC:219	50	10094461	9508
HGNC:220	50	10094461	9507
HGNC:221	50	10438522	11096
HGNC:222	50	10464288	11174
HGNC:223	50	10464288	11173
HGNC:49407			390660
HGNC:49408			
HGNC:49409			400406
HGNC:49410			642935
HGNC:224	50	10438512	11095
HGNC:13202	50	10936055	56999
HGNC:40625	1987	27941916	101929335
HGNC:42435	1987	24833086, 29707897	100507098
HGNC:13201	50	15355968, 15368195	81794
HGNC:14605	50	11279086	81792
HGNC:1366	50	11557746, 11535495	11093
HGNC:14899	50	11779638	140766
HGNC:16305	50	11867212	170689
HGNC:17108	50	11867212	170690
HGNC:17109	50	11867212	170691
HGNC:17110	50	11867212, 17546048	170692
HGNC:17111	50	11867212	171019
HGNC:40797	1987		
HGNC:17178	50	12514189, 12562771	80070
HGNC:16662			
HGNC:14632	593|947|1691	9628581, 11805097	92949
HGNC:14631	947	9628581, 14667842	9719
HGNC:14633	594|593|947	9628581, 10574462	57188
HGNC:19706	947|1691	12706885	54507
HGNC:32041	1987		
HGNC:40895	1987		100289061
HGNC:27912	947	23010571	339366
HGNC:16486	395|682	10333475	11033
HGNC:16487	395|682	12018390, 27956705	55803
HGNC:225	1303	7972084	103
HGNC:226	1303	9143496, 14759252	104
HGNC:227	1303	9272162, 10836796	105
HGNC:23299	1987	28874676	642394
HGNC:228	1303	10430867	23536
HGNC:21172	1303	12457566	134637
HGNC:25151	1303	12457566	113179
HGNC:19038		12471243	57143
HGNC:19039			90956
HGNC:21738			203054
HGNC:229		279003, 6933468, 6974523	106
HGNC:230			
HGNC:231			
HGNC:232	53	8314585, 24482543	107
HGNC:233	53	1427768	108
HGNC:234	53	9920776	109
HGNC:235	53	7766992	196883
HGNC:236	53	10481931	111
HGNC:237	53|1691	24319099	112
HGNC:53332	1990		100506125
HGNC:238	53|1691	7860067	113
HGNC:239	53	8076676	114
HGNC:240	53	9628827	115
HGNC:21285	53	23255611	55811
HGNC:44143			221442
HGNC:241	1902	1730060	116
HGNC:242	264	7902709	117
HGNC:243		1840603	118
HGNC:244		1840603	119
HGNC:245		8893809	120
HGNC:48682	1987		100505933
HGNC:246			
HGNC:247		5801459, 2349949	
HGNC:21212	975	22115833	79747
HGNC:13838	911	12565841, 25713288	84435
HGNC:49543	1987		
HGNC:17849	594|911	11559528, 12565841, 25713288	25960
HGNC:13839	593|911	12565841, 25713288	166647
HGNC:943	912	9533023, 25713288	575
HGNC:944	912|1691	9533023, 25713288	576
HGNC:945	912	9533023, 25713288	577
HGNC:19893	914	25713288	283383
HGNC:53314	1987	25599403	105755954
HGNC:18651	914	25713288	347088
